FECHA,FCS_ESTACION_RUTABUS,TISC_PERFIL,TISC_TIPO,N
3/17/20,(02300) Calle 100,(001) Adulto,(1) tullave Básica,11343
3/17/20,(02300) Calle 100,(001) Adulto,(2) tullave Plus,14026
3/17/20,(02204) Pepe Sierra,(001) Adulto,(2) tullave Plus,6168
3/17/20,(02204) Pepe Sierra,(001) Adulto,(1) tullave Básica,4605
3/17/20,(02302) Virrey,(001) Adulto,(2) tullave Plus,5453
3/17/20,(02302) Virrey,(001) Adulto,(1) tullave Básica,4320
3/17/20,(02205) Calle 106,(001) Adulto,(1) tullave Básica,3144
3/17/20,(02205) Calle 106,(001) Adulto,(2) tullave Plus,3970
3/17/20,(02001) Centro Comercial Santa Fe,(001) Adulto,(2) tullave Plus,2958
3/17/20,(02001) Centro Comercial Santa Fe,(001) Adulto,(1) tullave Básica,2443
3/17/20,(02502) Terminal,(001) Adulto,(2) tullave Plus,3453
3/17/20,(02502) Terminal,(001) Adulto,(1) tullave Básica,3674
3/17/20,(02101) Toberín,(001) Adulto,(2) tullave Plus,8686
3/17/20,(02103) Mazurén,(001) Adulto,(2) tullave Plus,1926
3/17/20,(02102) Calle 161,(001) Adulto,(2) tullave Plus,1582
3/17/20,(02103) Mazurén,(001) Adulto,(1) tullave Básica,1749
3/17/20,(02102) Calle 161,(001) Adulto,(1) tullave Básica,1481
3/17/20,(02101) Toberín,(001) Adulto,(1) tullave Básica,6828
3/17/20,(09117) Calle 45,(001) Adulto,(1) tullave Básica,5047
3/17/20,(09117) Calle 45,(001) Adulto,(2) tullave Plus,5018
3/17/20,(09119) Calle 57,(001) Adulto,(2) tullave Plus,4809
3/17/20,(09119) Calle 57,(001) Adulto,(1) tullave Básica,5289
3/17/20,(09120) Calle 63,(001) Adulto,(2) tullave Plus,7605
3/17/20,(09120) Calle 63,(001) Adulto,(1) tullave Básica,8115
3/17/20,(09118) Marly,(001) Adulto,(1) tullave Básica,9176
3/17/20,(09118) Marly,(001) Adulto,(2) tullave Plus,8651
3/17/20,(09123) Calle 76,(001) Adulto,(1) tullave Básica,7866
3/17/20,(09123) Calle 76,(001) Adulto,(2) tullave Plus,8425
3/17/20,(09100) Calle 40 Sur,(001) Adulto,(1) tullave Básica,4795
3/17/20,(09100) Calle 40 Sur,(001) Adulto,(2) tullave Plus,4027
3/17/20,(09109) Tercer Milenio,(001) Adulto,(2) tullave Plus,1399
3/17/20,(09109) Tercer Milenio,(001) Adulto,(1) tullave Básica,1981
3/17/20,(09108) Hospital,(001) Adulto,(2) tullave Plus,372
3/17/20,(09108) Hospital,(001) Adulto,(1) tullave Básica,621
3/17/20,(09107) Hortúa,(001) Adulto,(2) tullave Plus,2557
3/17/20,(09107) Hortúa,(001) Adulto,(1) tullave Básica,2905
3/17/20,(07112) COMUNEROS,(001) Adulto,(1) tullave Básica,3068
3/17/20,(07112) COMUNEROS,(001) Adulto,(2) tullave Plus,3645
3/17/20,(03004) GRATAMIRA,(001) Adulto,(1) tullave Básica,267
3/17/20,(03004) GRATAMIRA,(001) Adulto,(2) tullave Plus,283
3/17/20,(09122) Calle 72,(001) Adulto,(2) tullave Plus,8576
3/17/20,(09115) Calle 34,(001) Adulto,(2) tullave Plus,6313
3/17/20,(09121) Las Flores,(001) Adulto,(2) tullave Plus,5854
3/17/20,(09113) Calle 22,(001) Adulto,(2) tullave Plus,1562
3/17/20,(09111) Calle 19,(001) Adulto,(2) tullave Plus,3662
3/17/20,(09116) Avenida 39,(001) Adulto,(2) tullave Plus,3621
3/17/20,(02104) Calle 146,(001) Adulto,(2) tullave Plus,4212
3/17/20,(02202) Calle 127,(001) Adulto,(2) tullave Plus,6322
3/17/20,(02304) Heroes,(001) Adulto,(2) tullave Plus,6502
3/17/20,(09114) Calle 26,(001) Adulto,(2) tullave Plus,4396
3/17/20,(02201) Prado,(001) Adulto,(2) tullave Plus,3857
3/17/20,(02303) Calle 85,(001) Adulto,(2) tullave Plus,5938
3/17/20,(40002) Manitas,(001) Adulto,(2) tullave Plus,1007
3/17/20,(40003) Mirador del Paraiso,(001) Adulto,(2) tullave Plus,2920
3/17/20,(40001) Juan Pablo II,(001) Adulto,(2) tullave Plus,1128
3/17/20,(14005) Las Aguas,(001) Adulto,(2) tullave Plus,3140
3/17/20,(14004) Museo del Oro,(001) Adulto,(2) tullave Plus,5143
3/17/20,(40000) Cable Portal Tunal,(001) Adulto,(2) tullave Plus,5036
3/17/20,(02105) Calle 142,(001) Adulto,(2) tullave Plus,4223
3/17/20,(12007) Zona Industrial,(001) Adulto,(2) tullave Plus,2586
3/17/20,(12002) CDS - Carrera 32,(001) Adulto,(2) tullave Plus,1250
3/17/20,(12000) Puente Aranda,(001) Adulto,(2) tullave Plus,656
3/17/20,(12001) Carrera 43,(001) Adulto,(2) tullave Plus,2722
3/17/20,(12003) Ricaurte,(001) Adulto,(2) tullave Plus,2233
3/17/20,(14001) La Sabana,(001) Adulto,(2) tullave Plus,1214
3/17/20,(12004) Carrera 22,(001) Adulto,(2) tullave Plus,1508
3/17/20,(02200) Alcalá,(001) Adulto,(2) tullave Plus,9063
3/17/20,(03001) LA CAMPIÑA,(001) Adulto,(2) tullave Plus,3496
3/17/20,(03003) 21 ANGELES,(001) Adulto,(2) tullave Plus,922
3/17/20,(03002) SUBA - TV- 91,(001) Adulto,(2) tullave Plus,2555
3/17/20,(03005) SUBA - AV. BOYACA,(001) Adulto,(2) tullave Plus,2261
3/17/20,(03012) SUBA - CALLE 95,(001) Adulto,(2) tullave Plus,2381
3/17/20,(03013) RIO NEGRO,(001) Adulto,(2) tullave Plus,1612
3/17/20,(03010) PUENTE LARGO,(001) Adulto,(2) tullave Plus,2138
3/17/20,(03011) SUBA - CALLE 100,(001) Adulto,(2) tullave Plus,4068
3/17/20,(03006) NIZA - CALLE 127,(001) Adulto,(2) tullave Plus,3308
3/17/20,(03014) SAN MARTIN,(001) Adulto,(2) tullave Plus,352
3/17/20,(03009) Av. Suba- Calle 116,(001) Adulto,(2) tullave Plus,3146
3/17/20,(03007) HUMEDAL CORDOBA,(001) Adulto,(2) tullave Plus,635
3/17/20,(09110) Avenida Jimenez,(001) Adulto,(2) tullave Plus,8297
3/17/20,(07104) Simon Bolivar,(001) Adulto,(2) tullave Plus,2637
3/17/20,(07109) CAD,(001) Adulto,(2) tullave Plus,4841
3/17/20,(07106) EL CAMPIN,(001) Adulto,(2) tullave Plus,2925
3/17/20,(07110) PALOQUEMAO,(001) Adulto,(2) tullave Plus,3971
3/17/20,(07111) NQS - RICAURTE,(001) Adulto,(2) tullave Plus,5263
3/17/20,(07107) U. NACIONAL,(001) Adulto,(2) tullave Plus,2662
3/17/20,(07200) Tygua-San José,(001) Adulto,(2) tullave Plus,816
3/17/20,(07103) AV. CHILE,(001) Adulto,(2) tullave Plus,4240
3/17/20,(07201) Guatoque -Veraguas,(001) Adulto,(2) tullave Plus,942
3/17/20,(07102) NQS - CALLE 75,(001) Adulto,(2) tullave Plus,2686
3/17/20,(07101) CASTELLANA,(001) Adulto,(2) tullave Plus,1671
3/17/20,(07105) MOVISTAR ARENA,(001) Adulto,(2) tullave Plus,2040
3/17/20,(07108) Av. El Dorado,(001) Adulto,(2) tullave Plus,1509
3/17/20,(10009) Museo Nacional,(001) Adulto,(2) tullave Plus,5455
3/17/20,(10005) Bicentenario,(001) Adulto,(2) tullave Plus,1522
3/17/20,(10008) San Diego,(001) Adulto,(2) tullave Plus,2052
3/17/20,(10007) Las Nieves,(001) Adulto,(2) tullave Plus,3587
3/17/20,(10002) Av. Primero de Mayo,(001) Adulto,(2) tullave Plus,7482
3/17/20,(10001) Country Sur,(001) Adulto,(2) tullave Plus,3209
3/17/20,(10003) Ciudad Jardín,(001) Adulto,(2) tullave Plus,665
3/17/20,(10004) Policarpa,(001) Adulto,(2) tullave Plus,678
3/17/20,(10006) San Victorino,(001) Adulto,(2) tullave Plus,3061
3/17/20,(10010) San Bernardo,(001) Adulto,(2) tullave Plus,1629
3/17/20,(10000) Portal 20 de Julio,(001) Adulto,(2) tullave Plus,12279
3/17/20,(02000) Cabecera Autopista Norte,(001) Adulto,(2) tullave Plus,23999
3/17/20,(04000) Cabecera Calle 80,(001) Adulto,(2) tullave Plus,21175
3/17/20,(04001) Quirigua,(001) Adulto,(2) tullave Plus,1335
3/17/20,(04002) Carrera 90,(001) Adulto,(2) tullave Plus,2170
3/17/20,(04003) Avenida Ciudad de Cali,(001) Adulto,(2) tullave Plus,3105
3/17/20,(04106) Carrera 47,(001) Adulto,(2) tullave Plus,1080
3/17/20,(04103) Las Ferias,(001) Adulto,(2) tullave Plus,1335
3/17/20,(04102) Avenida Boyaca,(001) Adulto,(2) tullave Plus,2635
3/17/20,(04100) Carrera 77,(001) Adulto,(2) tullave Plus,2051
3/17/20,(04004) La Granja,(001) Adulto,(2) tullave Plus,1848
3/17/20,(04105) Carrera 53,(001) Adulto,(2) tullave Plus,1194
3/17/20,(04108) El Polo,(001) Adulto,(2) tullave Plus,2113
3/17/20,(04101) Minuto de Dios,(001) Adulto,(2) tullave Plus,1829
